Location,Period,Indicator,Dim1,Tooltip,FactValueForMeasure,FactValueString
Afghanistan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,245.2,245.2,245.2
Afghanistan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,271.8,271.8,271.8
Afghanistan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,215.6,215.6,215.6
Afghanistan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,233.2,233.2,233.2
Afghanistan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,253,254,253
Afghanistan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,210.2,210.2,210.2
Afghanistan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,234.3,234.3,234.3
Afghanistan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,253.9,253.9,253.9
Afghanistan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,212.9,212.9,212.9
Afghanistan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,235.5,235.5,235.5
Afghanistan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,253,254,253
Afghanistan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,215.4,215.4,215.4
Afghanistan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,242.3,242.3,242.3
Afghanistan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,261.7,261.7,261.7
Afghanistan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,221.4,221.4,221.4
Afghanistan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,248.2,248.2,248.2
Afghanistan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,268.1,268.1,268.1
Afghanistan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,226.6,226.6,226.6
Afghanistan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,254.8,254.8,254.8
Afghanistan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,275.3,275.3,275.3
Afghanistan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,232.6,232.6,232.6
Afghanistan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,259.8,259.8,259.8
Afghanistan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,280.5,280.5,280.5
Afghanistan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,237.6,237.6,237.6
Afghanistan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,264.9,264.9,264.9
Afghanistan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,285.6,285.6,285.6
Afghanistan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,242.8,242.8,242.8
Afghanistan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,272.6,272.6,272.6
Afghanistan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,294,294,294
Afghanistan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,249.8,249.8,249.8
Afghanistan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,275.8,275.8,275.8
Afghanistan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,296.3,296.3,296.3
Afghanistan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,254.3,254.3,254.3
Afghanistan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,277.2,277.2,277.2
Afghanistan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,295.9,295.9,295.9
Afghanistan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,257.9,257.9,257.9
Afghanistan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,281.9,281.9,281.9
Afghanistan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,300.2,300.2,300.2
Afghanistan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,263.1,263.1,263.1
Afghanistan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,286.5,286.5,286.5
Afghanistan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,304.1,304.1,304.1
Afghanistan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,268.5,268.5,268.5
Afghanistan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,292.3,292.3,292.3
Afghanistan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,309.4,309.4,309.4
Afghanistan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,274.9,274.9,274.9
